,Movie_id,Domestic,Worldwide
0,36809,56671993,187733202
1,30114,18335230,60738797
2,37367,35014192,39187783
3,49473,15322921,87100449
4,14867,6739492,19839492
5,33832,136025503,232325503
6,31722,100546139,203388186
7,25398,8114627,11176469
8,10099,222527828,657818612
9,25281,42340598,103215094
10,43358,106954678,329398046
11,36798,25352281,44495281
12,10617,72313754,165478348
13,49590,408084349,1153304495
14,12560,259766572,714264267
15,31370,5879736,5879736
16,48626,107100855,218791811
17,38131,109767581,173567581
18,34191,27298285,55198285
19,20341,208545589,710644566
20,18506,363070709,783112979
21,38960,251513985,543113985
22,43526,72689,72689
23,10015,1436900,1436900
24,11971,162805434,425368238
25,31332,232641920,677718395
26,22607,35060689,76175166
27,33884,100206256,370541256
28,21508,41003371,48126384
29,30161,25442958,36869414
30,49518,1755212,1755212
31,12164,85817906,211817906
32,13277,167767189,369330363
33,30401,274092705,723192705
34,11289,333176600,773328629
35,47403,67209615,175302354
36,21411,295983305,960283305
37,44738,27007844,37879877
38,21768,25568251,47351251
39,11173,169387004,235345861
40,37652,177002924,621537519
41,48102,217581231,494878759
42,23450,73864507,185770160
43,23963,5205468,5205468
44,29611,260354,260354
45,46824,292576195,825532764
46,42732,356461711,857611174
47,46900,188020017,675120017
48,45231,48071303,96188903
49,47579,128261724,414351546
50,26118,48023088,69929545
51,31069,151101803,445669679
52,41512,148809770,441809770
53,47616,51728731,140302754
54,18458,125095601,154802912
55,36478,153636354,378858340
56,22767,47695371,77540122
57,30146,6758416,9074749
58,13316,56817045,151119219
59,13310,248757044,643331111
60,48554,75605492,110206216
61,29635,45512466,68263166
62,43350,17654912,27682872
63,34073,32381217,38697217
64,23417,37709979,100129872
65,12744,1446634,7523634
66,37979,61002302,122126687
67,41592,176760185,481801049
68,44253,532177324,1056057273
69,11928,26947624,90247624
70,26438,31524275,47664559
71,30154,1013100,1013100
72,36011,128012934,294804195
73,13627,46889293,84872444
74,17294,132092958,236412453
75,41048,3237118,13624522
76,47323,304360277,1108561013
77,28910,45055776,88346473
78,28919,228778661,467381469
79,38626,936662225,2068223624
80,14813,161197785,201634991
81,42419,200821936,591794936
82,34386,44671682,133432856
83,10454,623357910,1518812988
84,21538,70259870,133440870
85,39777,21488481,76586316
86,29419,448139099,1084939099
87,42727,124872350,307166834
88,44160,93617009,129190869
89,28130,102515793,232617430
90,22401,59301324,174801324
91,34429,169708112,216639112
92,41835,303003568,1021103568
93,30250,258366855,958366855
94,41963,424668047,865011746
95,45458,91125683,233555708
96,35832,135453143,414211549
97,47074,257760692,469160692
98,40310,1339152,97571250
99,24887,228433663,630161890
100,31592,17742948,33384127
101,29441,183637894,532950503
102,39456,96962694,224920315
103,40287,35893537,123726688
104,32701,92186262,154026136
105,35004,116900694,392000694
106,40832,415004880,1066969703
107,44316,171243005,252276927
108,20420,223838,4749516
109,20709,22321,22321
110,17545,13657115,23057115
111,35939,3469224,6263224
112,38262,13092000,48982041
113,10023,189422889,471222889
114,27783,233921534,747862775
115,42294,146408305,353624124
116,32217,341268248,1023784195
